ћарка;—сылка;÷ена в доллорах;÷ена в гривн€х;√ород
Jaguar XF 2.0D i4 јT (180 л.с.) RWD 2020;https://auto.ria.com/newauto/auto-jaguar-xf-1514827.html;53 058 $;1 352 400 грн;ќдесса
Jaguar XE 2.0D AT (180 л.с.) RWD 2020;https://auto.ria.com/newauto/auto-jaguar-xe-1814973.html;45 952 $;1 171 240 грн;ќдесса
Jaguar E-Pace 2.0 AT (249 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1766943.html;48 929 $;1 247 120 грн;ќдесса
Jaguar XE 2.0D AT (180 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-xe-1814976.html;45 601 $;1 162 840 грн;ќдесса
Jaguar XE 2.0 Si4 AT (300 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-xe-1814991.html;54 279 $;1 383 480 грн;ќдесса
Jaguar E-Pace 2.0D AT (240 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1766919.html;54 365 $;1 386 000 грн;ќдесса
Jaguar XF 2.0D јT (240 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-xf-1661180.html;64 351 $;1 640 240 грн;ќдесса
Jaguar XE 2.0 Si4 AT (300 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-xe-1814988.html;51 500 $;1 312 640 грн;ќдесса
Jaguar XF 3.0D јT (300 л.с.) RWD 2020;https://auto.ria.com/newauto/auto-jaguar-xf-1760916.html;71 142 $;1 813 280 грн;ќдесса
Jaguar E-Pace 2.0 AT (200 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1766926.html;48 270 $;1 230 600 грн;ќдесса
Jaguar XF 2.0D i4 MT (180 л.с.) RWD 2020;https://auto.ria.com/newauto/auto-jaguar-xf-1500419.html;50 334 $;1 282 960 грн;ќдесса
Jaguar E-Pace 2.0D MT (150 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1760388.html;43 568 $;1 110 480 грн;ќдесса
Jaguar E-Pace 2.0D AT (180 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1716832.html;48 555 $;1 238 160 грн;ќдесса
Jaguar XF 3.0D јT (300 л.с.) RWD 2020;https://auto.ria.com/newauto/auto-jaguar-xf-1574403.html;72 568 $;1 849 680 грн;ќдесса
Jaguar F-Pace 3.0D AT (300 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-f-pace-1760890.html;67 209 $;1 713 040 грн;ќдесса
Jaguar XF 2.0D јT (240 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-xf-1514830.html;60 495 $;1 541 960 грн;ќдесса
Jaguar XF 2.0 AT (250 л.с.) 2020;https://auto.ria.com/newauto/auto-jaguar-xf-1661189.html;56 681 $;1 445 080 грн;ќдесса
Jaguar E-Pace 2.0D AT (150 л.с.) AWD 2019;https://auto.ria.com/newauto/auto-jaguar-e-pace-1829277.html;53 002 $;1 303 290 грн;„убинское
Jaguar F-Pace 2.0D AT (180 л.с.) AWD 2019;https://auto.ria.com/newauto/auto-jaguar-f-pace-1828372.html;53 891 $;1 325 160 грн;„убинское
Jaguar XF 2.2D I4 AT (190 л.с.) RWD 2019;https://auto.ria.com/newauto/auto-jaguar-xf-1819604.html;45 608 $;1 113 800 грн;ƒнепр (ƒнепропетровск)
Jaguar E-Pace 2.0D MT (180 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1716848.html;45 895 $;1 169 840 грн;ќдесса
Jaguar F-Type P450 5.0i AT (450 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-f-type-1822068.html;117 972 $;3 006 752 грн;ќдесса
Jaguar E-Pace 2.0 AT (200 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1767149.html;45 799 $;1 167 600 грн;ќдесса
Jaguar I-Pace EV400 90kWh AWD 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1817944.html;94 332 $;2 740 529 грн;’арьков
Jaguar E-Pace 2.0 AT (300 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1766956.html;59 898 $;1 527 400 грн;ќдесса
Jaguar XF 2.0 AT (300 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-xf-1574404.html;61 198 $;1 559 880 грн;ќдесса
Jaguar XE 2.0D AT (180 л.с.) RWD 2020;https://auto.ria.com/newauto/auto-jaguar-xe-1814970.html;43 272 $;1 102 920 грн;ќдесса
Jaguar E-Pace 2.0D MT (180 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1716853.html;43 109 $;1 099 280 грн;ќдесса
Jaguar I-Pace EV400 90kWh AWD 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1817942.html;79 058 $;2 296 800 грн;’арьков
Jaguar F-Pace 3.0D AT (300 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-f-pace-1760887.html;62 862 $;1 603 000 грн;ќдесса
Jaguar E-Pace 2.0 AT (249 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1766932.html;46 139 $;1 176 560 грн;ќдесса
Jaguar E-Pace 2.0 AT (200 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1767150.html;51 037 $;1 301 160 грн;ќдесса
Jaguar F-Pace 2.0D MT (163 л.с.) 2020;https://auto.ria.com/newauto/auto-jaguar-f-pace-1760884.html;45 480 $;1 159 200 грн;ќдесса
Jaguar F-Type P450 5.0i AT (450 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-f-type-1822069.html;129 031 $;3 289 552 грн;ќдесса
Jaguar E-Pace 2.0D AT (150 л.с.) AWD 2019;https://auto.ria.com/newauto/auto-jaguar-e-pace-1817943.html;42 099 $;1 223 046 грн;’арьков
Jaguar F-Pace 2.0 AT (250 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-f-pace-1760885.html;58 942 $;1 502 480 грн;ќдесса
Jaguar I-Pace EV400 90kWh AWD 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1822135.html;86 769 $;2 119 000 грн;’арьков
Jaguar F-Pace 2.0D MT (163 л.с.) 2020;https://auto.ria.com/newauto/auto-jaguar-f-pace-1760888.html;49 829 $;1 270 360 грн;ќдесса
Jaguar F-Pace 2.0D AT (240 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-f-pace-1661096.html;60 886 $;1 552 600 грн;ќдесса
Jaguar E-Pace 2.0D AT (150 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1760378.html;43 491 $;1 108 520 грн;ќдесса
Jaguar E-Pace 2.0D AT (240 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1766922.html;57 109 $;1 456 280 грн;ќдесса
Jaguar F-Type P575 5.0i AT (575 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-f-type-1822070.html;149 961 $;3 822 056 грн;ќдесса
Jaguar F-Pace 2.0D AT (180 л.с.) 2020;https://auto.ria.com/newauto/auto-jaguar-f-pace-1500317.html;53 300 $;1 358 840 грн;ќдесса
Jaguar F-Pace 2.0 AT (300 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-f-pace-1760895.html;58 533 $;1 491 280 грн;ќдесса
Jaguar F-Type P450 5.0i AT (450 л.с.) 2020;https://auto.ria.com/newauto/auto-jaguar-f-type-1822067.html;121 984 $;3 109 008 грн;ќдесса
Jaguar XE 2.0i AT (250 л.с.) RWD 2020;https://auto.ria.com/newauto/auto-jaguar-xe-1814982.html;45 227 $;1 152 760 грн;ќдесса
Jaguar I-Pace EV400 90kWh AWD 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1822134.html;83 604 $;2 041 700 грн;’арьков
Jaguar F-Type P450 5.0i AT (450 л.с.) 2020;https://auto.ria.com/newauto/auto-jaguar-f-type-1822066.html;110 887 $;2 826 180 грн;ќдесса
Jaguar I-Pace EV400 90kWh AWD 2020;https://auto.ria.com/newauto/auto-jaguar-i-pace-1766975.html;89 081 $;2 270 520 грн;ќдесса
Jaguar E-Pace 2.0D AT (180 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1716840.html;45 809 $;1 167 880 грн;ќдесса
Jaguar F-Pace 2.0D AT (240 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-f-pace-1574399.html;56 551 $;1 441 720 грн;ќдесса
Jaguar E-Pace 2.0 AT (300 л.с.) AWD 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1766953.html;57 184 $;1 456 840 грн;ќдесса
Jaguar F-Pace 2.0D AT (180 л.с.) 2020;https://auto.ria.com/newauto/auto-jaguar-f-pace-1767154.html;48 974 $;1 247 680 грн;ќдесса
Jaguar XF 2.0 AT (300 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1719708.html;58 727 $;1 705 374 грн;’арьков
Jaguar E-Pace 2.0D AT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718501.html;55 969 $;1 625 305 грн;’арьков
