ћарка;—сылка;÷ена в доллорах;÷ена в гривн€х;√ород
Jaguar XF 2.0 GTDi јT (240 л.с.) RWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1512268.html;56 178 $;1 631 366 грн;’арьков
Jaguar XF 2.0D i4 јT (180 л.с.) RWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1483191.html;47 170 $;1 369 786 грн;’арьков
Jaguar E-Pace 2.0D MT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718481.html;52 970 $;1 538 218 грн;’арьков
Jaguar F-Pace 2.0D AT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1512403.html;57 606 $;1 672 836 грн;’арьков
Jaguar E-Pace 2.0D AT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718483.html;52 322 $;1 519 397 грн;’арьков
Jaguar XF 2.0D i4 јT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1641673.html;50 136 $;1 455 916 грн;’арьков
Jaguar XF 2.0D i4 MT (180 л.с.) RWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1512256.html;48 159 $;1 398 496 грн;’арьков
Jaguar E-Pace 2.0D MT (150 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1729960.html;44 600 $;1 295 140 грн;’арьков
Jaguar E-Pace 2.0D AT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718489.html;64 415 $;1 870 935 грн;’арьков
Jaguar F-Pace 2.0D AT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718655.html;67 493 $;1 959 936 грн;’арьков
Jaguar F-Pace 3.0 AT (380 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718661.html;90 781 $;2 636 216 грн;’арьков
Jaguar E-Pace 2.0D AT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718488.html;60 012 $;1 742 697 грн;’арьков
Jaguar E-Pace 2.0D MT (150 л.с.) 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718464.html;47 763 $;1 387 012 грн;’арьков
Jaguar E-Pace 2.0D AT (150 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718475.html;62 044 $;1 801 712 грн;’арьков
Jaguar E-Pace 2.0D AT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718500.html;61 272 $;1 779 701 грн;’арьков
Jaguar E-Pace 2.0D AT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718486.html;49 719 $;1 443 794 грн;’арьков
Jaguar E-Pace 2.0D AT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718489.html;64 415 $;1 870 935 грн;’арьков
Jaguar F-Pace 2.0D AT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718655.html;67 493 $;1 959 936 грн;’арьков
Jaguar F-Pace 3.0 AT (380 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718661.html;90 781 $;2 636 216 грн;’арьков
Jaguar XF 2.0 AT (250 л.с.) 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718683.html;58 265 $;1 691 976 грн;’арьков
Jaguar E-Pace 2.0D AT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718486.html;49 719 $;1 443 794 грн;’арьков
Jaguar E-Pace 2.0D AT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718495.html;65 900 $;1 913 681 грн;’арьков
Jaguar E-Pace 2.0D AT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718500.html;61 272 $;1 779 701 грн;’арьков
Jaguar E-Pace 2.0D MT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718479.html;46 972 $;1 364 044 грн;’арьков
Jaguar XE 2.0 AT (200 л.с.) 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1512245.html;40 030 $;1 162 436 грн;’арьков
Jaguar F-Pace 2.0 AT (250 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718659.html;60 242 $;1 749 396 грн;’арьков
Jaguar XE 2.0 AT (250 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1718669.html;52 992 $;1 538 856 грн;’арьков
Jaguar XF 3.0 AT (380 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718689.html;78 588 $;2 282 126 грн;’арьков
Jaguar XF 3.0 AT (380 л.с.) RWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718688.html;75 732 $;2 199 186 грн;’арьков
Jaguar E-Pace 2.0D AT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718502.html;60 257 $;1 750 034 грн;’арьков
Jaguar E-Pace 2.0D AT (150 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718468.html;43 952 $;1 276 319 грн;’арьков
Jaguar XF 2.0 AT (250 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718687.html;61 113 $;1 774 916 грн;’арьков
Jaguar E-Pace 2.0D MT (150 л.с.) 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718462.html;44 380 $;1 288 760 грн;’арьков
Jaguar XE 2.0D AT (180 л.с.) 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1483187.html;48 049 $;1 395 306 грн;’арьков
Jaguar XF 2.0D i4 јT (180 л.с.) RWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1601704.html;61 231 $;1 778 106 грн;’арьков
Jaguar F-Pace 2.0 AT (300 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718692.html;70 052 $;2 034 263 грн;’арьков
Jaguar XF 2.0 AT (200 л.с.) 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718677.html;46 950 $;1 363 406 грн;’арьков
Jaguar E-Pace 2.0 AT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1719703.html;49 965 $;1 451 131 грн;’арьков
Jaguar E-Pace 2.0D MT (150 л.с.) 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718461.html;38 382 $;1 114 586 грн;’арьков
Jaguar E-Pace 2.0D MT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718477.html;49 566 $;1 439 647 грн;’арьков
Jaguar F-Pace 3.0D AT (300 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718658.html;93 857 $;2 725 536 грн;’арьков
Jaguar I-Pace EV400 90kWh AWD 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1827886.html;58 800 $;1 435 967 грн; иев
Jaguar I-Pace EV400 90kWh AWD 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1827887.html;57 600 $;1 408 320 грн; иев
Jaguar I-Pace EV400 90kWh AWD 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1827913.html;59 700 $;1 457 946 грн; иев
Jaguar I-Pace EV400 90kWh AWD 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1828048.html;89 887 $;2 195 534 грн; иев
Jaguar E-Pace 2.0D AT (150 л.с.) AWD 2019;https://auto.ria.com/newauto/auto-jaguar-e-pace-1828051.html;49 884 $;1 218 219 грн; иев
Jaguar F-Type 2.0 T AT (300 л.с.) 2019;https://auto.ria.com/newauto/auto-jaguar-f-type-1817613.html;84 223 $;2 059 380 грн; иев
Jaguar F-Pace 2.0D AT (180 л.с.) AWD 2019;https://auto.ria.com/newauto/auto-jaguar-f-pace-1828445.html;55 637 $;1 358 731 грн; иев
Jaguar XF 2.0D јT (240 л.с.) AWD 2019;https://auto.ria.com/newauto/auto-jaguar-xf-1828047.html;52 887 $;1 298 745 грн; иев
Jaguar F-Pace 2.0D AT (180 л.с.) AWD 2019;https://auto.ria.com/newauto/auto-jaguar-f-pace-1828423.html;62 829 $;1 534 371 грн; иев
Jaguar I-Pace EV400 90kWh AWD 2020;https://auto.ria.com/newauto/auto-jaguar-i-pace-1740921.html;85 353 $;2 088 413 грн; иев
